headline,url,sentiment_score,sentiment_label,published_at,source
"Truth, Myth or Both? Getting History Right in Battle of Britain",https://www.steynonline.com/15260/truth-myth-or-both-getting-history-right-in,-0.0772,neutral,2025-05-03T14:00:00Z,Steynonline.com
So North Koreans fought for Russia. What does that change?,https://www.rt.com/news/616690-north-koreans-russia-kursk/,-0.3744,negative,2025-05-03T13:30:53Z,RT
"The Middle East 2025: The Good, the Bad and the Tragically Ugly",https://www.fairobserver.com/world-news/middle-east-news/the-middle-east-2025-the-good-the-bad-and-the-tragically-ugly/,-0.8225,negative,2025-05-03T13:23:14Z,Fair Observer
The Fifth Floor: Education against the odds,https://www.bbc.co.uk/programmes/p0l7p72c,0.0,neutral,2025-05-03T12:30:00Z,BBC News
Houthis show persistence amid ongoing US strikes,https://www.jpost.com/middle-east/article-852448,-0.3612,negative,2025-05-03T09:06:30Z,The Jerusalem Post
Lawfare Archive: Greg Johnsen and Scott Anderson on the Fight Against the Houthis,https://shows.acast.com/lawfare/episodes/lawfare-archive-greg-johnsen-and-scott-anderson-on-the-fight,-0.3818,negative,2025-05-03T09:00:00Z,Acast.com
"EU President Should Be Tried for Complicity in Israel’s War Crimes, Says Top UN Expert on Palestine",https://theintercept.com/2025/05/03/eu-israel-palestine-war-crimes-accountability/,-0.4767,negative,2025-05-03T08:00:00Z,The Intercept
Checkout: A Mossad spy parody movie worth watching,https://www.jpost.com/israel-news/culture/article-852289,0.2263,positive,2025-05-03T02:43:38Z,The Jerusalem Post
Silent Genocide: Ethnic Cleansing Taking Place Right Now in Syria,https://www.globalresearch.ca/silent-genocide-ethnic-cleansing-taking-place-right-now-in-syria/5885863,0.0,neutral,2025-05-03T00:15:46Z,Globalresearch.ca
How crypto has increased the Trump family's net worth,https://www.cbsnews.com/news/trump-family-net-worth-crypto-investments/,0.4588,positive,2025-05-02T23:41:20Z,CBS News
Illinois man sentenced to 53 years for hate-crime murder of 6-year-old Muslim boy,https://www.israelnationalnews.com/news/407769,-0.7003,negative,2025-05-02T22:16:22Z,Israelnationalnews.com
"'Hamas can be defeated in few weeks,' former Israeli Ground Forces Commander says",https://www.jpost.com/israel-news/article-852418,-0.4767,negative,2025-05-02T21:16:42Z,The Jerusalem Post
Shari Redstone’s Impossible Choice: She Can’t Save Both ‘60 Minutes’ and Paramount Global,https://variety.com/2025/tv/news/shari-redstone-impossible-choice-60-minutes-paramount-1236384851/,0.4939,positive,2025-05-02T20:54:42Z,Variety
Daily Press Briefing by the Office of the Spokesperson for the Secretary-General,https://press.un.org/en/2025/db250502.doc.htm,0.0,neutral,2025-05-02T20:15:17Z,UN News
'Not happy': Marjorie Taylor Greene hits GOP leaders with list of furious complaints,https://www.rawstory.com/marjorie-taylor-greene-2671883273/,-0.7506,negative,2025-05-02T19:36:43Z,Raw Story
